session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
42,-2,9431.5,8188.0,1243.5,0.9108582143510822,0.9961768562887584,0.7822555010265551,0.9960891637759219,0.12860271332452713,0.8448216868785445
43,-1,8373.5,7103.0,1270.5,0.8252268853642688,0.9898758954843815,0.7000969433989694,0.9943619064307129,0.12512994196529942,0.6269426982805084
44,-2,9585.5,6571.0,3014.5,0.932191901966419,0.9920616357952198,0.6670637399146374,0.9964954964594821,0.26512816205178164,0.9218694862585867
45,-1,10540.0,7489.0,3051.0,0.9840674844711749,0.9899332172348462,0.7206544115465441,0.9965021037474271,0.26341307292463073,0.8887972389862234
46,-2,10093.25,7551.0,2542.25,1.080211490868615,0.9942900894325567,0.7879936752739367,0.9941474339636099,0.29221781559467813,0.9274450915634571
47,-1,9958.5,7508.0,2450.5,1.0177165325261652,0.9911730203015676,0.7603213858692138,0.9967176833707416,0.25739514665695146,0.9206032495210288
48,-2,10083.0,7356.0,2727.0,1.065999706848997,0.9950503552225134,0.7457077505030775,0.9928254797201347,0.32029195634591956,0.9378619407043868
49,-1,6277.25,6431.0,-153.75,0.5277848948948489,0.8684434569259564,0.6259039720930397,0.9915286898032641,-0.09811907719819077,0.26868371284444786
50,-2,10028.5,7294.0,2734.5,0.9848235120322352,0.9973418243444333,0.7112217606202176,0.9977326218122302,0.27360175141201754,0.9839752416625736
51,-1,8400.75,6583.0,1817.75,0.8729102890611029,0.9937799779944538,0.7032351506703515,0.9936469863570614,0.16967513839075138,0.8549600997971624
52,-2,10751.5,8491.0,2260.5,1.0597171407476713,0.996280553862604,0.8272662253846622,0.9964995996388931,0.23245091536300916,0.953154286217366
53,-1,11820.5,7792.0,4028.5,1.2704626281821263,0.9773704296347585,0.8149723635677236,0.9945321312002976,0.4554902646144027,0.9130913625249741
54,-2,11641.0,7673.0,3968.0,1.1799299391572995,0.9824689794995326,0.7620684625986847,0.992391341715092,0.4178614765586148,0.9416011201260468
55,-1,9048.75,7577.0,1471.75,0.9146514133690141,0.9819670507574451,0.738551304905513,0.991565434229738,0.17610010846350108,0.649017879372211
